name	taxonomy_id	taxonomy_lvl	SRR8146968_num	SRR8146968_frac	SRR8146978_num	SRR8146978_frac	SRR8146982_num	SRR8146982_frac	SRR8146938_num	SRR8146938_frac	SRR8146935_num	SRR8146935_frac	SRR8146936_num	SRR8146936_frac
Sodaliphilus pleomorphus	2606626	S	13102	0.00076	1751	0.00007	1851	0.00013	167	0.00001	3805	0.00017	3340	0.00016
Muribaculum gordoncarteri	2530390	S	5994	0.00035	4939	0.00021	1442	0.00010	281	0.00001	1919	0.00009	1355	0.00006
Muribaculum intestinale	1796646	S	1959	0.00011	19	0.00000	1748	0.00012	596	0.00002	2416	0.00011	480	0.00002
Duncaniella dubosii	2518971	S	1081	0.00006	1708	0.00007	392	0.00003	22	0.00000	2727	0.00012	1270	0.00006
Paramuribaculum intestinale	2094151	S	2678	0.00016	30	0.00000	1169	0.00008	225	0.00001	3338	0.00015	750	0.00004
Porphyromonas pogonae	867595	S	527	0.00003	0	0.00000	457	0.00003	144	0.00001	34	0.00000	77	0.00000
Porphyromonas sp. oral taxon 275	712435	S	225	0.00001	164	0.00001	436	0.00003	653	0.00002	234	0.00001	428	0.00002
Porphyromonas cangingivalis	36874	S	181	0.00001	0	0.00000	186	0.00001	13	0.00000	95	0.00000	144	0.00001
Porphyromonas gingivalis	837	S	665	0.00004	69	0.00000	1101	0.00008	356	0.00001	1105	0.00005	652	0.00003
Porphyromonas levii	28114	S	164	0.00001	557	0.00002	357	0.00002	25	0.00000	137	0.00001	81	0.00000
Porphyromonas endodontalis	28124	S	139	0.00001	0	0.00000	149	0.00001	0	0.00000	89	0.00000	43	0.00000
Porphyromonas crevioricanis	393921	S	111	0.00001	0	0.00000	320	0.00002	188	0.00001	16	0.00000	0	0.00000
Porphyromonas somerae	322095	S	76	0.00000	16	0.00000	42	0.00000	12	0.00000	539	0.00002	32	0.00000
Porphyromonas asaccharolytica	28123	S	61	0.00000	886	0.00004	40	0.00000	79	0.00000	362	0.00002	150	0.00001
Macellibacteroides fermentans	879969	S	67	0.00000	24	0.00000	545	0.00004	18	0.00000	335	0.00001	379	0.00002
Proteiniphilum saccharofermentans	1642647	S	500	0.00003	57	0.00000	212	0.00001	0	0.00000	280	0.00001	45	0.00000
Petrimonas mucosa	1642646	S	262	0.00002	0	0.00000	642	0.00004	4227	0.00016	9409	0.00042	2951	0.00014
Petrimonas sulfuriphila	285070	S	89	0.00001	0	0.00000	112	0.00001	0	0.00000	0	0.00000	0	0.00000
Dysgonomonas sp. HDW5B	2714927	S	73	0.00000	0	0.00000	58	0.00000	45	0.00000	0	0.00000	21	0.00000
Dysgonomonas sp. HDW5A	2714926	S	48	0.00000	0	0.00000	199	0.00001	0	0.00000	0	0.00000	0	0.00000
Dysgonomonas capnocytophagoides	45254	S	24	0.00000	0	0.00000	175	0.00001	0	0.00000	195	0.00001	32	0.00000
Limibacterium fermenti	3229863	S	18	0.00000	0	0.00000	186	0.00001	10	0.00000	87	0.00000	28	0.00000
Paludibacter propionicigenes	185300	S	32	0.00000	138	0.00001	104	0.00001	0	0.00000	64	0.00000	68	0.00000
Tenuifilum thalassicum	2590900	S	10	0.00000	0	0.00000	19	0.00000	0	0.00000	0	0.00000	2430	0.00011
Mangrovibacterium marinum	1639118	S	746	0.00004	22	0.00000	416	0.00003	0	0.00000	14	0.00000	134	0.00001
Aquipluma nitroreducens	2010828	S	160	0.00001	20	0.00000	164	0.00001	0	0.00000	0	0.00000	23	0.00000
Halosquirtibacter xylanolyticus	3374599	S	104	0.00001	0	0.00000	165	0.00001	0	0.00000	0	0.00000	47	0.00000
uncultured Draconibacterium sp.	1573823	S	70	0.00000	18	0.00000	417	0.00003	0	0.00000	235	0.00001	77	0.00000
Draconibacterium orientale	1168034	S	18	0.00000	0	0.00000	53	0.00000	10	0.00000	16	0.00000	17	0.00000
Draconibacterium halophilum	2706887	S	12	0.00000	0	0.00000	90	0.00001	0	0.00000	0	0.00000	37	0.00000
