"species","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Bifidobacterium sp. ESL0732",1.16824815826464,0.195735205681974,1.03977906280936,0.407870842932597,0.712155440041043
"Bifidobacterium breve",307.828533876608,0.465165301777679,0.821592902969511,0.388592042912246,0.712155440041043
"Bifidobacterium subtile",11.1257092877845,0.307353606888867,1.01000224330406,0.402335990071765,0.712155440041043
"Clostridium septicum",61.7104365068958,0.184643921237269,1.0287919432409,0.381460666857975,0.712155440041043
"Clostridium felsineum",1.31401517738896,0.198716999354552,1.04126232217397,0.38294630653779,0.712155440041043
"Clostridium aceticum",1.17569779029539,0.196105383085427,1.03996052152157,0.405502133621171,0.712155440041043
"Streptococcus sp. 11-4097",1.38317387093575,0.199844817570516,1.04183725203839,0.37279099034536,0.712155440041043
"Streptococcus gwangjuensis",1.24485648384217,0.197460442119651,1.04063436667479,0.393817088632011,0.712155440041043
"Bifidobacterium sp. ESL0682",14.9556100650781,-0.178041026208424,1.02837218354037,0.369325246015551,0.712155440041043
"Alistipes indistinctus",2430.15886474491,0.443531657690196,0.818765111741726,0.410735454399796,0.714322529390949
"Bacteroides sedimenti",846.727055763161,-0.342446223518663,0.969406061419789,0.420155583487113,0.718719987135019
"Clostridium perfringens",334.004090723126,0.419629272783881,0.876802336343194,0.42264595104306,0.718719987135019
