"species","rab.all","rab.win.Omnivore","rab.win.Vegan","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"Dysgonomonas sp. HDW5B",1.71869296271968,2.29090034905556,1.27174595938367,-1.19028750314047,5.25472289126079,-0.179146898553635,0.395833579489825,0.823250683723774,1,0.583593750000001,0.999540216727717
"Dysgonomonas sp. HDW5A",-1.67952554454432,-3.56121204514472,2.584830810417,4.90050659499887,4.62506169186142,1.02883880653129,0.114585480082425,0.198745607554124,1,0.28203125,1
"Dysgonomonas capnocytophagoides",2.28198717346809,2.95333961917616,1.54835063710851,-1.52906408533421,5.99016893819482,-0.275163338058632,0.354167026979493,0.735936031388091,1,0.4359375,0.982074014447741
"Limibacterium fermenti",2.56782577345865,2.83402594003334,1.18650521159876,-2.34400917180595,3.03354637386077,-0.747823953215152,0.171876302777131,0.218036603131305,1,0.1671875,0.89785913558302
"Paludibacter propionicigenes",3.0369261102787,4.05178185546972,2.17130888686035,1.88256224042845,5.17815040864017,0.26163725222582,0.450777313270224,0.621203420714439,1,1,1
"Tenuifilum thalassicum",-0.514278372665846,-1.37118491429823,-0.316491324220792,0.733566273062841,8.21770974970125,0.0889873168474882,0.435233307989157,0.717685032714098,1,0.8390625,0.997125390320455
"Mangrovibacterium marinum",4.16398754888024,2.92527918367354,4.37689995615589,1.80966761683044,2.74147290019573,0.607079281027804,0.22279882279503,0.292946679484773,1,0.398437499999999,1
"Aquipluma nitroreducens",2.67766722337013,-1.38203540955481,4.15236623569873,4.99365008475981,3.82276808868979,1.33245221306903,0.0208465762163515,0.134980222355903,1,0.11015625,1
"Halosquirtibacter xylanolyticus",2.26954128412678,-1.40067586275051,2.78106673325331,2.5666561492348,5.84028088271958,0.395503043655418,0.326425311992643,0.538416607684924,1,0.711718750000001,1
"uncultured Draconibacterium sp.",4.06724459736556,4.17534316473602,4.02532741062633,-0.272540685920604,3.06376275298749,-0.0779706033369056,0.409326634621006,0.754091183138786,1,0.634375000000001,1
"Draconibacterium orientale",1.46031946169583,2.42914553158825,0.961680706155386,-1.71988854991797,1.47386616601926,-1.31578110616188,0.0155616731380917,0.171149759995192,1,0.0125,0.0787183395895485
"Draconibacterium halophilum",0.127976511626832,-1.73958675757574,0.676052496205719,1.99394493064415,5.11471788766019,0.332696309409683,0.421875181024094,0.654276724030099,1,0.847656250000001,1
"Maribellus comscasis",3.22169848212135,3.65344229917318,2.94610114164167,-0.525579471308836,3.93874474384892,-0.103059663835153,0.421875181024094,0.793373839436226,1,0.651562500000001,0.99917343387471
"Gaoshiqia hydrogeniformans",1.64517869136507,2.54666273311761,1.26296048982182,-1.56431171242019,4.82069757003521,-0.301272048242641,0.321243981829087,0.731571349282792,1,0.37578125,0.971749295797522
"Marinifilum fragile",3.15961546768432,2.95895095839945,3.2549646602327,-1.27426901525475,2.84274281217462,-0.215151694160092,0.453125106902353,0.450917619410454,1,0.671875000000001,1
"Marinifilum sp.",-0.896134755867726,-1.8378835253982,-0.642672053339318,0.983170785316492,5.25353380439425,0.178789556348478,0.442708464566388,0.811181045691562,1,0.854687500000001,0.99843851339383
"Xiashengella succiniciproducens",1.63926730187346,-2.37001827226046,3.66727354244051,3.89109150840308,6.05147565944572,0.619036349429077,0.177084585601177,0.396654779090644,1,0.35546875,1
"Hymenobacter sp. YIM 151500-1",2.50104519537044,2.458247328986,2.50873393760164,0.884057253996356,5.87995218055494,0.114401305513827,0.435233307989157,0.792120631450886,1,0.892187500000001,1
"Hymenobacter sp. NBH84",-2.37362698121067,-2.49786496069641,-1.9434629669849,1.15545489516063,8.359505578263,0.127974698790659,0.450777313270224,0.862565450958979,1,0.880468750000001,1
"Hymenobacter sp. PAMC 26628",3.92242663711698,4.58341715120541,1.05891810229654,-3.42544443576494,3.00647799952978,-1.06409711617022,0.0885445476297529,0.209052631109451,1,0.0906249999999998,0.817042418333407
